Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,92.05555556,43.46666667,1505.6,26.60070671,0.636042403,46.5,0.405,0.204334306,0.153592462,91
2,97.9,117.5333333,9944.3,291.6217009,2.375366569,68.66666667,0.438544739,0.524160679,0.689345064,371
3,95.16666667,36.6,1016.966667,17.16882386,0.489589195,52,0.464128035,0.221741999,0.123579066,71
4,84.00000001,141.4,13180.56667,451.9051429,3.682285714,105.8333333,0.626799557,0.75738325,0.9696,506
5,94.33333335,82.66666667,6176.8,201.8562092,2.052287582,59.66666667,0.298978644,0.577596853,0.540305011,309
6,89.16666665,91.8,10735.36667,1099.1843,8.607508532,103.5,166.8333333,2.414513556,1.879863481,568
7,94.5,174.1333333,21130.4,695.0789474,5.078947368,104.8333333,0.827438371,0.73529119,1.145614035,504
8,103.7777778,161.4,18936.16667,803.5148515,5.949080622,112.1666667,1.571428571,1.050637597,1.369731259,586
9,75.44444443,134.6,15105.76667,879.9475728,7.254368932,114.6666667,9,1.413789595,1.56815534,566
10,96.79999999,116.4,9631.866667,280.5398058,2.469902913,66.66666667,0.395264117,0.525349486,0.678058252,376
11,97.46666667,96.73333333,9372.566667,243.0224719,1.989628349,67.83333333,0.277389277,0.482929556,0.501642178,345
12,107,140.6666667,13250,556.7226891,4.823529412,112.8333333,0.84660767,0.957140234,1.182072829,484
13,113,177,22505.1,675.8288288,4.774774775,129.3333333,0.697368421,0.782557461,1.063063063,464
14,101.1333333,134.5333333,14537.06667,341.7805643,2.702194357,86.33333333,0.387136673,0.471070286,0.632601881,366
15,96.80000002,92.73333333,8589.766667,232.3651939,2.019837692,62.66666667,0.258258258,0.489699208,0.501713255,325
16,97.73333335,113.0666667,9406.4,271.8612717,2.38150289,75,0.333333333,0.52545723,0.653564547,377
17,90.88888888,43.13333333,1597.766667,29.60654725,0.620135886,52.66666667,0.343327454,0.258854056,0.15985176,133
18,106.8333334,142.8,13625.46667,559.9506849,4.849315068,112.5,0.87020649,0.930080495,1.17369863,479
19,98.93333335,106.3333333,11048.3,263.6825776,1.990453461,63.16666667,0.268160217,0.436107408,0.507557677,314
20,90.5,73.13333333,3857.9,74.62088975,1.12959381,47.83333333,0.344642857,0.219032238,0.282914249,74
21,98.03333333,122.0666667,10513.36667,297.267672,2.461828464,75.16666667,0.368556701,0.545522733,0.690292177,378
22,104.8333333,127.2,11118.26667,516.3281734,4.699690402,105.8333333,0.791862285,0.993727271,1.181424149,485
23,107.6666667,162.6666667,18762.4,710.6969697,5.484848485,123.8333333,1.077380952,0.943107444,1.232323232,484
24,108.3333333,129,11542.96667,472.4270123,3.967257844,107.3333333,0.569193742,0.898857649,1.055934516,461
25,101.1111111,150.6666667,16801.46667,780.25387,5.944272446,110.8333333,1.710344828,1.137113603,1.399380805,582
26,93.50000001,104.4,9346.266667,634.361991,5.230769231,72,2.033333333,1.143113961,1.41719457,537
27,93.53333333,129.2,10990.66667,452.9120879,4.417582418,81.66666667,0.793248945,0.790029837,1.064835165,375
28,104.0833334,130.1333333,12445.86667,645.9792388,5.480968858,112.6666667,1.283105023,1.19570577,1.350865052,504
29,95.60000002,116.2666667,9399.466667,316.1255605,2.793721973,77.33333333,0.583643123,0.646253533,0.78206278,400
30,100.25,122.8,11907.86667,689.6447876,5.513513514,102.8333333,1.866666667,1.251800629,1.422393822,520
31,88.83333334,98.86666667,10119.36667,818.277628,6.506738544,63.5,3.993589744,1.340349177,1.598921833,555
32,71.66666667,84.06666667,4664.566667,262.5459662,3.90619137,81,0.775925926,1.142365742,0.946341463,267
33,72.77777777,92.93333333,5842,301.1340206,4.144329897,98.16666667,0.956989247,1.124474294,0.958075601,390
34,84.26666667,154.8,15601.46667,515.4669604,4.044052863,117,0.662337662,0.791527723,1.022907489,522
35,88.22222223,46,1390.4,30.22608696,0.730434783,34.16666667,0.372294372,0.195787661,0.2,88
36,86.22222222,96.6,6210.566667,151.3541836,1.790414297,63.83333333,0.378632479,0.354173343,0.470836718,131
37,89.77777779,56.13333333,2094.666667,41.61589404,0.929801325,57.33333333,0.483633935,0.28435516,0.223046358,146
38,64.2,35.53333333,935.3666667,95.1220339,3.06440678,50.16666667,2.644808743,1.268833981,0.722711864,305
39,91.1388889,46.33333333,1429.366667,26.68388301,0.675793404,45,0.367816092,0.212960793,0.172993155,98
40,87.55555556,89.8,5545.766667,125.9447388,1.523088569,53.33333333,0.396976929,0.30750323,0.407872824,81
41,87.33333333,166.1333333,18537.2,535.7572254,3.988439306,116.5,0.58524173,0.699173111,0.960308285,496
42,75.33333333,82.46666667,4976.3,201.4696356,2.429149798,57.66666667,0.760456274,0.570139903,0.667746289,277
43,71.72222222,79.73333333,4492,264.2352941,3.858823529,86.33333333,1.369230769,1.247089653,0.938039216,349
44,90.72222222,78.13333333,4601.866667,97.22253521,1.16056338,77,0.452956989,0.359668233,0.330140845,216
45,77.55555557,72.93333333,3531.066667,146.3149171,2.502762431,68.5,0.469827586,0.681672865,0.60441989,188
46,88.72222222,98.73333333,7076.166667,168.3465504,1.698651864,71.5,0.390881913,0.407632291,0.469785884,229
47,88.72222222,102.1333333,7378,171.5813953,1.925581395,73.66666667,0.328502415,0.428958936,0.47503876,190
48,75.66666668,84.46666667,4890.7,227.4744186,2.986046512,78.33333333,1.335,0.791153539,0.785736434,427
49,75.72222223,82.86666667,4497.366667,206.6171516,3.041347626,78.5,0.665056361,0.849641938,0.761408882,260
50,92.66666668,33.46666667,1125.466667,19.4269275,0.492520138,48.66666667,0.397603486,0.200745339,0.115535098,84
51,87.83333333,79.33333333,4429.466667,104.1410658,1.347962382,74.33333333,0.364306785,0.402513208,0.373040752,227
52,72.99999999,78.2,4107.1,210.6205128,3.374358974,79.83333333,0.687609075,1.0311887,0.802051282,218
53,72,114.8666667,8806.166667,314.8808105,3.141835518,93.16666667,0.45631068,0.800493121,0.821454112,240
54,71.61111111,84.2,4762.566667,248.4817391,3.55826087,86.83333333,0.96875,1.123592672,0.878608696,337
55,73.05555556,83.33333333,4584.8,241.3052632,3.642105263,80.83333333,0.708551483,1.055955279,0.877192982,276
56,74.16666667,77.06666667,4268.666667,195.2134146,3.164634146,83.66666667,0.693877551,0.923236981,0.704878049,321
57,76.66666668,94.26666667,9986.266667,913.3780488,7.365853659,77.83333333,9.641025641,1.787804982,1.724390244,585
58,62.4,33.2,738,97.10526316,3.526315789,45.33333333,4.36,1.59658762,0.873684211,306
59,71.16666666,87.66666667,5189.9,299.9942197,4.242774566,87.33333333,1.095860566,1.252378835,1.013487476,391
60,75.53333333,98.53333333,6680.8,324.3106796,3.669902913,78,1.65625,0.816836428,0.956634304,451
61,84.05555557,78.13333333,4459.066667,151.3257919,1.995475113,60.83333333,0.347266881,0.521414684,0.530316742,245
62,90.38888889,40.86666667,1526.966667,29.23356733,0.599872368,55.5,0.356447689,0.274893831,0.156477345,156
63,78.05555556,91.66666667,5879.366667,208.7349112,2.804733728,73,0.491293532,0.618942831,0.650887574,195
64,72.26666667,62.93333333,2571.066667,184.5263158,3.645933014,72.66666667,2.326340326,1.153536819,0.903349282,373
65,72.40000001,59.53333333,2529.366667,171.2889391,3.322799097,66.66666667,1.690346084,0.985854014,0.806320542,301
66,87.72222221,68.8,3750.666667,87.49611198,1.191290824,56.16666667,0.364425163,0.304409258,0.320995334,157
67,74.66666666,78,4060.666667,190.34375,3.01875,76.83333333,0.678883072,0.898328798,0.73125,248
68,77.27777779,86.2,4996.966667,223.4113264,2.903129657,63.5,0.668358714,0.675368335,0.770789866,215
69,82.88888888,73.46666667,3619.866667,114.3115789,1.907368421,43.66666667,0.318565401,0.372435274,0.464,129
71,85.72222223,46.8,1636.4,47.29479769,0.994219653,48.66666667,0.23572744,0.315980544,0.270520231,138
72,75.44444445,85.46666667,4896,216.6371681,3.150442478,84.16666667,0.702093398,0.871137195,0.756342183,298
73,81.05555556,68.93333333,3238.266667,115.3776722,2.109263658,78.16666667,0.362745098,0.64174461,0.491211401,255
74,77.11111112,83.46666667,4619.2,206.2142857,2.928571429,70.33333333,0.53422619,0.713963221,0.745238095,232
75,80.00000001,88.53333333,5399.866667,191.0330189,2.745283019,78.83333333,0.444444444,0.600523062,0.626415094,233
76,86.38888888,74.93333333,3665.466667,91.33222591,1.504983389,57,0.327335047,0.314809254,0.373421927,129
77,63.06666667,61.73333333,2507.2,208.9333333,4,44.5,1.897637795,1.038818328,1.028888889,304
78,86.05555555,70.06666667,3310.166667,89.54463481,1.49864743,59,0.402941176,0.401378895,0.379080252,185
79,86.72222223,81.8,4740.966667,118.4254788,1.753538718,60.83333333,0.324099723,0.324606608,0.40865945,136
80,80.46666667,121.0666667,10255.46667,440.7793696,3.679083095,107.3333333,0.719887955,0.957204484,1.040687679,537
81,74.22222223,83.73333333,4817.6,259.0107527,3.52688172,88.5,0.987421384,1.045822922,0.900358423,335
82,74.05555555,83.86666667,4775.466667,267.2835821,3.656716418,79.66666667,1.019607843,1.038493906,0.93880597,321
83,93.83333334,54,2084,37.48201439,0.769784173,68.5,0.48542024,0.288725556,0.194244604,188
84,81.8888889,56,2103.866667,73.22041763,1.600928074,57.66666667,0.279805353,0.486321089,0.389791183,154
85,95.3888889,33.86666667,1457.866667,24.16353591,0.514917127,62.66666667,0.475132275,0.25014388,0.112265193,156
86,99.73333335,138.4,13854,342.9207921,2.693069307,90.33333333,0.423402617,0.516404107,0.685148515,346
87,113,174.4666667,21950.16667,665.8291203,4.762386249,127.8333333,0.688596491,0.781383024,1.058442872,302
