Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,126.0555556,88.86666667,6299.5,127.2626263,1.511111111,62.83333333,0.410029499,0.300168303,0.359057239,120
2,146.0833333,163.8666667,18282.66667,581.0169492,4.156779661,110,0.635568513,0.726401458,1.041525424,487
3,149.5,172.2,21844.16667,613.0261927,4.170252572,102.5,0.545521292,0.624656866,0.966510758,468
4,140.2222222,163.4666667,19679.2,793.516129,5.951612903,102.3333333,1.242424242,0.935194152,1.31827957,623
5,132.6,132.2,12785.76667,334.9982533,2.824454148,70.33333333,0.427777778,0.473339886,0.692751092,349
6,126.5,73,6481.5,820.443038,8.227848101,93.83333333,114.8333333,2.646040645,1.848101266,601
7,144.5,180.8666667,24506.56667,868.0011806,5.957497048,105.3333333,1.21884058,0.841005175,1.281227863,623
8,139.1666667,160.1333333,18628.66667,800.6590258,5.948424069,101,1.686147186,0.98832272,1.376504298,623
9,110.3333333,117.0666667,11651.2,766.5263158,7.289473684,101,8.76,1.456879964,1.540350877,590
10,134.3666667,147.6,15541.2,408.9789474,3.189473684,77.33333333,0.407563025,0.511155939,0.776842105,374
11,145.5,159.1333333,17175.76667,579.6096738,4.461192351,110.5,0.701698514,0.764766248,1.074015748,495
12,143.1666667,135.7333333,12285.86667,498.0756757,4.2,102.6666667,0.733072917,0.861827437,1.100540541,500
13,150,172.0666667,21596.16667,609.4873001,4.159924741,103.6666667,0.543510324,0.643475654,0.971213547,474
14,136.8666667,140.8666667,16692.16667,379.6550417,2.890068234,81,0.392123288,0.45001175,0.640788476,355
15,143.75,139.6,13087.06667,502.0613811,4.158567775,99.5,0.701107011,0.795705773,1.071099744,491
16,132.4666667,128.8666667,11517.76667,347.2693467,2.826130653,71.33333333,0.558089034,0.53466581,0.777085427,372
17,125.6111111,55.73333333,2167.2,44.7768595,0.925619835,49,0.399224806,0.228745541,0.23030303,61
18,142.75,141.1333333,13634.96667,525.0949936,3.969191271,98,0.705738706,0.806807424,1.08703466,506
19,148.0833333,168.9333333,19537.86667,600.5491803,4.118852459,109,0.632672332,0.714153309,1.03852459,487
20,136,137.7333333,16386.26667,374.6859756,2.884146341,78.33333333,0.380136986,0.450675863,0.629878049,361
21,134.6,138.1333333,13545.86667,339.21202,2.684474124,72.16666667,0.398809524,0.464251698,0.691819699,359
22,142.3333333,123.4666667,10726.26667,433.6765499,3.967654987,89,0.583613917,0.760160385,0.998382749,496
23,145.25,159,17191.9,594.8754325,4.657439446,113.1666667,0.755331089,0.799474377,1.100346021,498
24,160.5555556,131.2,12886.66667,661.9863014,5.938356164,119.3333333,1.874458874,1.312363442,1.347945205,619
25,140.2222222,164.2,19938.56667,798.6074766,5.951935915,103.6666667,1.220032841,0.943058995,1.315353805,623
26,126.5833334,95.33333333,7675.866667,587.4387755,5.551020408,65.66666667,3.230769231,1.14727871,1.459183673,525
27,128.4,101.2,7452.666667,304.6049046,3.395095368,62.16666667,0.586580087,0.716285756,0.827247956,362
28,136.6666667,115.5333333,9850.566667,571.5996132,5.350096712,92.16666667,1.781954887,1.129118432,1.340812379,524
29,131.3333333,129.2666667,10958.7,366.5117057,3.217391304,75.83333333,0.629239766,0.612900525,0.864659978,388
