Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,0.850376575,114.4666667,9291.366667,223.1713371,2.251401121,62.16666667,0.419107392,0.362668942,0.549879904,71
2,0.855692118,113.1333333,9983.5,279.6498599,2.168067227,57.5,0.339473684,0.466663827,0.633800187,425
3,0.852997444,71.73333333,3522.8,79.34234234,1.288288288,62.33333333,0.452830189,0.310157297,0.323123123,123
4,0.844491033,132.2666667,13015.46667,476.1756098,4.107317073,56,1.257407407,0.499059198,0.967804878,408
5,0.846188119,97.93333333,7191.9,259.6353791,2.324909747,52.33333333,0.583916084,0.499935918,0.70709988,415
6,0.84755446,93.8,10954.56667,1091.817276,8.445182724,123.3333333,112.5,2.690947868,1.869767442,647
7,0.794457471,33.8,1414.566667,375.5486726,8.088495575,65.33333333,165.1111111,4.885019879,1.794690265,578
8,0.839949994,70.53333333,3709.466667,341.3619632,5.889570552,122.8333333,4.080586081,2.413322967,1.298159509,635
9,0.844750163,129.2,14546.26667,916.7815126,6.941176471,123.5,8.983333333,1.660893333,1.628571429,635
10,0.847921306,112.3333333,8516.966667,300.2455934,2.940070505,62.33333333,0.667910448,0.541097144,0.792009401,418
11,0.872971021,117.4,15396.96667,308.1447632,1.991994663,51.5,0.29587405,0.356370514,0.469913276,421
12,0.842083715,86.93333333,5509.066667,314.2053232,3.954372624,72.83333333,1.822530864,1.165312398,0.991634981,578
13,0.855140651,133.7333333,13559.06667,471.8932715,3.972157773,79.5,0.778070175,0.782268223,0.930858469,578
14,0.849702856,112.8666667,8988.966667,287.8004269,2.467449306,57.16666667,0.561403509,0.48481296,0.722732124,414
15,0.850932459,87.73333333,6876.266667,211.3606557,1.987704918,47.16666667,0.331531532,0.452299406,0.539344262,414
16,0.835521961,95.2,6728.266667,375.1821561,3.628252788,44.33333333,1.53371869,0.636849739,1.061710037,418
17,0.859621757,41.53333333,1238.966667,23.90289389,0.673954984,38.16666667,0.547400612,0.181838981,0.160257235,55
18,0.847283906,102.5333333,7771.6,350.0720721,3.963963964,75.5,1.231034483,0.973298476,0.923723724,578
19,0.858271887,108.4,10465.86667,263.4026846,1.989932886,54.5,0.271249076,0.415431125,0.545637584,419
20,0.84722447,111.2666667,9541.766667,256.729148,2.308520179,69.5,0.469450889,0.441012183,0.598744395,204
21,0.877345554,107.6,16403.06667,312.6378653,1.992376112,56.16666667,0.333863275,0.357472949,0.410165184,423
22,0.84307879,101.4,6927.766667,365.2601054,4.333919156,74.66666667,1.911222781,1.094811654,1.069244288,577
23,0.856757684,138.4,14395.06667,474.5626374,3.973626374,80,0.749787956,0.761899126,0.912527473,578
24,0.844597376,111.6666667,9144.166667,487.2557726,4.227353464,74.66666667,2.087619048,1.113250306,1.190053286,577
25,0.846784343,111.4666667,9858.666667,660.1785714,5.919642857,124.5,4.166666667,1.777459996,1.492857143,635
26,0.882130974,171.4666667,27140.26667,635.1076443,3.981279251,86.33333333,0.347484277,0.57813732,0.8024961,578
27,0.845504432,84.13333333,5268.8,199.5757576,2.363636364,40.33333333,0.561461794,0.479086394,0.637373737,415
28,0.838950467,66.4,3187.2,234.3529412,4.205882353,68.66666667,2.550295858,1.453247434,0.976470588,578
29,0.845290862,113.6,9632,401.3333333,3.433333333,56.16666667,1.008375209,0.600586455,0.946666667,431
30,0.846539012,111.7333333,8463.066667,400.4605678,4.107255521,75,1.479944675,1.006076731,1.057413249,579
31,0.853320635,127.4,11628.96667,434.4570361,3.97011208,77.66666667,0.942326491,0.836561501,0.951930262,577
32,0.870226654,21.2,333.0666667,5.544950055,0.293007769,44,0.64195497,0.160280359,0.070588235,15
33,0.85010093,61.33333333,3351.2,84.20100503,1.216080402,41.5,0.399698341,0.290870672,0.308207705,77
34,0.846327051,149.0666667,15779.06667,564.8830549,4.434367542,63.66666667,1.32078853,0.535154637,1.067303103,414
35,0.852187147,89.33333333,5648,135.7692308,1.923076923,91.16666667,0.641463415,0.509300948,0.429487179,198
36,0.855140497,55.33333333,2085.866667,44.44318182,0.946022727,55.83333333,0.566181566,0.254524091,0.235795455,78
37,0.840822101,138.9333333,14293.6,517.884058,4.695652174,94.83333333,0.818181818,0.708533821,1.006763285,232
38,0.871171601,113.0666667,14756.26667,299.1135135,1.991891892,57.83333333,0.295544275,0.366687764,0.458378378,423
39,0.848575939,53.73333333,1974.266667,51.86339755,1.019264448,47.33333333,0.442694663,0.309561688,0.282311734,124
40,0.841370128,107.8666667,8448.8,303.9136691,3.568345324,77.5,0.626262626,0.572434922,0.776019185,165
41,0.845837576,127.5333333,10565.76667,393.7552795,3.734161491,64.83333333,0.822134387,0.558018451,0.950559006,426
42,0.861607738,122.8666667,12591.76667,294.4294622,2.260327358,53.83333333,0.29314888,0.384334692,0.574590803,418
43,0.858557536,31.73333333,678.2666667,13.42216359,0.477572559,51,0.59445519,0.27579502,0.125593668,105
44,0.841815772,117.6,9163.866667,310.9909502,3.325791855,72.66666667,0.518518519,0.52839559,0.798190045,150
45,0.841143825,114.6666667,8902.8,353.2857143,3.746031746,89,0.711915535,0.846093621,0.91005291,247
46,0.837985053,108,8484.8,362.5982906,4.256410256,85.83333333,0.700421941,0.781469849,0.923076923,239
47,0.854485001,31.73333333,717.8666667,15.696793,0.612244898,49.83333333,0.570254111,0.264561196,0.13877551,106
48,0.852282622,108.2,8640.3,261.0362538,2.459214502,52.33333333,0.419651056,0.461298956,0.653776435,412
49,0.857398149,42.2,1176.566667,23.89776574,0.710900474,50.66666667,0.511832319,0.250401632,0.171428571,83
50,0.836268099,81.73333333,4407.6,185.1932773,2.638655462,44.66666667,0.480122324,0.481434301,0.686834734,126
51,0.851512658,41.26666667,1186.566667,28.09550118,0.798737174,45.33333333,0.369532428,0.26853608,0.195422257,81
52,0.853496138,69.86666667,3328.266667,78.00625,1.21875,67.5,0.547901821,0.418076797,0.3275,187
53,0.844382472,65.93333333,2958.566667,90.29196338,1.715157681,58.16666667,0.392456677,0.390398418,0.402441506,124
54,0.865323947,19.93333333,305.5,5.369068541,0.30228471,45.5,0.585324232,0.198012534,0.070064441,44
55,0.858979111,38.93333333,1065.066667,20.77503251,0.621586476,52.33333333,0.571339564,0.253335887,0.151885566,113
56,0.860111532,35.6,879.0666667,16.94858612,0.609254499,62.66666667,0.578205128,0.295140424,0.137275064,141
57,0.859418411,160.2,17979.9,570.7904762,4.336507937,86.16666667,0.695767196,0.739597758,1.017142857,578
58,0.864717152,104.5333333,12929.06667,279.4466859,1.991354467,60,0.302591923,0.383907752,0.451873199,421
59,0.867910113,18.4,244.2666667,4.130777903,0.28410372,54.5,0.670634921,0.235709975,0.062232244,111
60,0.856434249,112.4,10035.06667,269.2772809,2.067978533,61.5,0.343563512,0.439541291,0.603220036,422
61,0.844758714,124.7333333,11511.5,356.3931889,3.572755418,87.16666667,0.656427759,0.550995652,0.772342621,193
62,0.844912232,59.2,2310.666667,68.22834646,1.452755906,55.66666667,0.400782014,0.358229859,0.349606299,110
63,0.859084174,44.26666667,1302.666667,25.40962289,0.725617685,57,0.585141354,0.261054733,0.172691808,107
64,0.844808293,94.33333333,6321.366667,251.1801325,3.091390728,42.83333333,0.662192394,0.497154748,0.749668874,415
65,0.851225723,128.2666667,11078.26667,333.0140281,3.006012024,53,0.514091351,0.462413722,0.771142285,398
66,0.841264962,84.8,4817.866667,169.2459016,2.529274005,64,0.439285714,0.475917174,0.595784543,133
67,0.861844463,26.2,449.3666667,8.296,0.380307692,46.33333333,0.641072517,0.212006922,0.096738462,78
68,0.868253891,30.4,619.4666667,10.58314351,0.396355353,57.16666667,0.655913978,0.227083899,0.103872437,65
69,0.845501572,136.6,12277.1,397.3171521,3.618122977,96.5,0.721637427,0.728075428,0.884142395,233
71,0.847982928,127.4666667,10937.06667,299.3722628,2.945255474,83,0.570902394,0.467028525,0.697810219,171
72,0.860249897,47.53333333,1522.566667,28.85470625,0.761844599,44.5,0.547040498,0.185457758,0.180164245,32
73,0.847164952,74.86666667,3923.766667,104.8201247,1.638468388,54.83333333,0.338223309,0.347755234,0.4,76
74,0.862942649,31.86666667,673.2,12.24,0.487272727,51.33333333,0.636861314,0.237513907,0.115878788,93
75,0.854941563,81.26666667,4604.166667,100.0181028,1.410572049,66.16666667,0.452233677,0.319596425,0.35307748,84
76,0.846699091,137,12253.36667,373.1989848,3.076142132,86.16666667,0.633816425,0.657593005,0.834517766,239
77,0.844992415,109.0666667,8153.2,316.0155039,3.581395349,46.66666667,0.640410959,0.513867673,0.845478036,406
78,0.861885712,31,658.5666667,12.11342735,0.430410791,48.33333333,0.641212121,0.218109048,0.114040466,79
79,0.841827878,107.2666667,8446.166667,290.912744,3.382319173,76.66666667,0.592995169,0.535701705,0.738920781,150
80,0.83894257,104.6666667,7555.466667,341.3614458,3.71686747,50.66666667,1.082892416,0.561954886,0.945783133,419
81,0.869481892,14.13333333,136.2666667,2.266075388,0.181818182,38.33333333,0.663377193,0.163114407,0.047006652,39
82,0.86854383,9.6,63.46666667,1.070866142,0.114735658,27.5,0.613916947,0.132166192,0.032395951,25
83,0.844994864,134.2666667,11899.6,381.3974359,3.423076923,92.5,0.601405622,0.694317049,0.860683761,244
84,0.860983361,29.06666667,633.8666667,11.885,0.4,49.33333333,0.691789216,0.246008765,0.109,102
85,0.863854596,18.06666667,230.5666667,4.090479007,0.22945003,45.83333333,0.645199761,0.229962331,0.06410408,93
86,0.842702256,97.66666667,6734.7,291.5454545,3.056277056,49.5,0.823099415,0.563356708,0.845598846,424
