Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,2.142232065,66.13333333,3913.466667,351.508982,4.946107784,44.83333333,2.802469136,1.088309969,1.188023952,276
2,2.245348223,47,1484.966667,125.4901408,3.16056338,33.5,2.303482587,0.741658633,0.794366197,285
3,2.438137919,94.06666667,5999.5,200.6521739,2.367892977,60.5,0.426666667,0.492759929,0.629208473,219
4,2.80531514,163.5333333,22280.56667,540.3532741,3.718674212,91.66666667,0.388601036,0.582509028,0.793209378,397
5,2.431894696,104.2666667,7019.6,294.9411765,3.344537815,50.5,0.789617486,0.541531641,0.876190476,381
6,2.700211634,147.2,19526.66667,1101.12782,7.909774436,123.8333333,124.6666667,1.529840785,1.660150376,645
7,2.931504842,176,22540,612.5,3.989130435,94.5,0.525035765,0.641952024,0.956521739,572
8,2.574318128,149.4,16380.3,761.8744186,5.944186047,122.8333333,2.330623306,1.219784623,1.389767442,630
9,2.932692595,180.4666667,24734.56667,865.8541424,5.957992999,126.1666667,1.153116531,0.938882464,1.263477246,635
10,2.437611042,141.2,14478.26667,590.1467391,5.282608696,79.16666667,0.955752212,0.687920101,1.151086957,445
11,2.353936522,120.3333333,11184.56667,615.6642202,5.247706422,55.5,2.519607843,0.716398045,1.324770642,399
12,2.507704749,136.4,12395.86667,509.4191781,4.487671233,77.16666667,1.323488045,0.858860413,1.12109589,577
13,2.59950849,157.4,16572.56667,574.7710983,4.349132948,80.83333333,0.927189989,0.751790939,1.091791908,578
14,2.554914483,144.5333333,14261.86667,482.9074492,4.25282167,74.66666667,0.750298686,0.577776691,0.978781038,428
15,2.605593733,142.4666667,14020.3,502.5197133,4.043010753,67.16666667,1.053067993,0.624855226,1.021266428,427
16,2.316889883,96.6,6660.166667,411.9690722,4.931958763,49.33333333,2.317610063,0.77226886,1.195051546,369
17,2.241482039,72.8,4270.666667,278.5217391,3.6,54.66666667,0.929971989,0.942887012,0.949565217,275
18,2.268599401,73.4,5024.7,452.6756757,4.954954955,66.5,4.758241758,1.665724919,1.322522523,575
19,2.184007447,47.8,1688.966667,186.9704797,4.501845018,36.5,5.604938272,0.964964052,1.058302583,287
20,2.431457269,105.3333333,7647.866667,266.1670534,3.201856148,76.5,0.557575758,0.573922429,0.733178654,238
21,2.651302818,108.7333333,10530.16667,271.6294067,2.400687876,55.66666667,0.278118609,0.416864459,0.560963027,386
22,2.247599221,78.86666667,4705.366667,413.9618768,5.436950147,68.5,5.484848485,1.613577572,1.387683284,575
23,2.722872826,160.4666667,18557.36667,551.7552032,3.976214073,85.33333333,0.594484996,0.674470725,0.954212091,580
24,2.597729049,150.8,15314.4,580.0909091,4.257575758,81,1.18488529,0.808893215,1.142424242,583
25,2.825033224,176.4666667,24571.9,856.1637631,5.958188153,125.5,1.047794118,0.930728193,1.229732869,636
26,2.162662311,43.4,1330.166667,196.5763547,5.231527094,63.83333333,10.25185185,2.623026663,1.282758621,571
27,2.320303591,90.66666667,5682.4,359.6455696,4.405063291,44.83333333,1.898666667,0.742079424,1.147679325,346
28,2.540151094,143.8,13942.56667,524.8143036,4.509410289,78.16666667,0.987528345,0.795986565,1.082559598,576
29,2.702247084,144.1333333,13856,380.6593407,3.098901099,77.16666667,0.497354497,0.515866965,0.791941392,415
30,2.268939847,103.3333333,9561.466667,743.119171,7.005181347,70.33333333,12.97777778,1.450573635,1.606217617,577
31,2.33968133,108.7333333,9132.966667,564.9257732,5.995876289,69.66666667,4.789029536,1.192922053,1.345154639,576
32,2.367466484,76.86666667,4173.766667,178.6205421,2.590584879,49,0.528070175,0.544412742,0.657917261,200
33,2.501392081,82.06666667,4605.5,131.9627507,1.742120344,56.5,0.357269504,0.33788892,0.470296084,90
34,2.804321683,124.3333333,12936.16667,296.9280796,2.099464422,72.33333333,0.354595336,0.433501353,0.570772762,389
35,2.634404426,89.6,5374.4,122.1454545,1.736363636,69.16666667,0.522421525,0.423373705,0.407272727,211
36,2.785431802,45.2,1687.066667,33.92225201,0.579088472,75,0.690331305,0.414748861,0.181769437,267
37,2.583487555,90.93333333,5582.666667,139.10299,1.687707641,70.66666667,0.427057865,0.430956689,0.453156146,178
38,2.370099566,76,3892.8,196.6060606,3.03030303,39.33333333,1.1,0.512725079,0.767676768,310
39,2.468148202,130.0666667,11721.36667,383.4689204,3.736095965,84,0.58744856,0.561976992,0.851035987,254
40,2.582346751,117,9790.966667,267.7566089,2.860528715,89.33333333,0.515611814,0.516602855,0.639927074,245
41,2.365866529,133,12506.7,587.1690141,5.436619718,65.16666667,1.459119497,0.652326915,1.248826291,394
42,2.432755242,111.2,8223.2,342.6333333,3.8,48.16666667,0.854938272,0.502257635,0.926666667,368
43,2.740358319,46.33333333,1552.566667,31.15518395,0.733110368,44.33333333,0.436825397,0.224888474,0.185953177,63
44,2.542304683,106.0666667,7838.566667,224.1725453,2.54528122,73.66666667,0.453098827,0.467465479,0.606673022,211
45,2.784174121,90.4,5452.266667,114.3832168,1.51048951,89.5,0.627609428,0.474081005,0.379300699,277
46,2.681010175,72.26666667,3893.2,85.00436681,1.091703057,66.33333333,0.542035398,0.347618246,0.315574964,165
47,2.200411868,74.93333333,4173.2,281.972973,4.108108108,46,1.208754209,0.8015487,1.012612613,232
48,2.496373402,116.2,9282.966667,319.7347876,3.035591274,43.66666667,0.544278607,0.433759107,0.800459242,355
49,2.429876014,69.93333333,3254.566667,107.8861878,1.942541436,40.66666667,0.32781457,0.345345854,0.463646409,127
50,2.584665694,70.26666667,3502.666667,85.15397083,1.419773096,46.5,0.395505618,0.268106048,0.34165316,88
51,2.545340767,89.8,5310.566667,146.5657774,1.871205152,73.66666667,0.499042146,0.504787422,0.495676173,238
52,2.884717565,33.26666667,758.1666667,13.40306423,0.49145551,59.33333333,0.565090485,0.298303651,0.117619328,156
53,2.838573945,51.26666667,1800.3,32.91224863,0.727605119,43.83333333,0.484042553,0.20587549,0.187446679,37
54,2.44302711,87.46666667,5172.8,171.2847682,2.198675497,47.16666667,0.438339438,0.37344215,0.579249448,124
55,2.246251809,61.86666667,3119.066667,198.2457627,2.915254237,46.83333333,0.902255639,0.715465192,0.786440678,199
56,2.583218318,46.8,1442.266667,33.64541213,0.849144635,29.5,0.408748115,0.173705534,0.218351477,67
57,3.036676876,174.3333333,23268.7,601.2583979,3.979328165,93.33333333,0.444660194,0.630107243,0.900947459,559
58,2.648338946,113.8666667,10996,273.5323383,2.029850746,49.5,0.281710914,0.384586554,0.566500829,374
59,2.446021112,68.8,3443.2,111.7922078,1.662337662,44,0.293501048,0.360530958,0.446753247,138
60,2.828533676,133.8666667,14414.8,324.6576577,2.333333333,78.5,0.336501901,0.4407265,0.603003003,382
61,2.794731826,49.73333333,1641.866667,32.1095176,0.758800522,95.66666667,0.646785951,0.428174452,0.19452412,243
62,2.265325152,65.4,4160.3,252.1393939,3.151515152,49.33333333,0.89380531,0.878729825,0.792727273,243
63,2.464808614,50.06666667,1733.366667,54.4513089,1.109947644,34.83333333,0.295731707,0.32707892,0.314554974,119
64,2.460510738,126.4666667,11776.16667,423.0958084,3.88502994,62,0.513736264,0.545456067,0.908742515,396
65,2.828084931,151.2666667,16421.5,409.5137157,3.102244389,90.66666667,0.417515275,0.522467531,0.754447215,395
66,2.526550541,63.33333333,2801.466667,76.26497278,1.390199637,54.5,0.440158259,0.392766847,0.344827586,173
67,2.567534876,79.06666667,4303.6,108.1306533,1.507537688,51.83333333,0.41712204,0.338210202,0.397319933,118
68,2.506661686,71.4,3379.366667,94.30790698,1.534883721,42.66666667,0.400995025,0.306378557,0.398511628,93
69,3.086645673,28.66666667,565.4666667,9.403547672,0.405764967,59.66666667,0.763229678,0.319080601,0.095343681,218
71,2.439014957,88.46666667,5181.1,169.8721311,2.380327869,58.66666667,0.463718821,0.479969342,0.58010929,182
72,2.359443258,80.8,4312.4,181.1932773,2.504201681,54.33333333,0.474242424,0.571462898,0.678991597,198
73,2.506870229,75.6,4165.2,123.9642857,1.833333333,62.83333333,0.531468531,0.515404435,0.45,207
74,2.278460465,77.93333333,4007.766667,209.1008696,3.036521739,50.33333333,0.694280079,0.698325299,0.813217391,207
75,2.841006062,46.66666667,1588.266667,29.0182704,0.65773447,55,0.619385343,0.265767195,0.170523752,99
76,2.810613159,113.1333333,9000.966667,203.4883195,1.867370008,101,0.826937547,0.612770892,0.511529766,290
77,2.932587627,119.6666667,13751.76667,295.313529,1.991410165,69.5,0.385281385,0.39928685,0.513958482,361
78,2.336738169,71.33333333,3481.066667,163.6865204,2.539184953,47.83333333,0.407239819,0.542249529,0.670846395,204
79,2.81132902,45.2,1368.666667,25.95448799,0.720606827,60.33333333,0.570413437,0.31492592,0.171428571,157
80,2.807639792,120,13339.2,295.1150442,2.14159292,69.33333333,0.296296296,0.396494634,0.530973451,379
81,2.556408294,62.26666667,2755.2,69.22613065,1.256281407,46.16666667,0.4,0.283810872,0.312897822,102
82,2.614986178,80.8,4382.4,100.5137615,1.366972477,60.33333333,0.392461197,0.3138172,0.370642202,86
83,2.496908528,63.53333333,2809.366667,82.06523856,1.347614411,38.16666667,0.34375,0.269619181,0.371178189,104
84,2.378796206,55.86666667,2055.2,82.87096774,1.596774194,34.33333333,0.305898491,0.328166247,0.450537634,139
85,2.347742219,75.6,3827.6,164.9827586,2.379310345,53.83333333,0.434250765,0.539313925,0.651724138,182
86,2.581839178,132.8666667,11877.36667,382.7293233,3.254564984,67.66666667,0.672640382,0.548841701,0.856283566,416
87,2.712705162,169.2,20629.06667,588.2813688,4.02661597,86,0.552294959,0.653057737,0.965019011,578
88,2.505089836,97.6,7313.866667,259.971564,2.232227488,47.16666667,0.565583634,0.512447265,0.693838863,408
89,2.829634022,117.4666667,13250.8,290.5877193,1.99122807,64.5,0.342171717,0.408659729,0.515204678,381
90,2.469525713,134.3333333,14421.36667,637.173785,5.384388807,61.33333333,2.414141414,0.696922404,1.187039764,435
91,2.359994675,119.8,10535.76667,559.4212389,5.451327434,52.33333333,2.287128713,0.708300805,1.272212389,411
92,2.831925435,154.7333333,17283.1,426.7432099,3.130864198,98.16666667,0.413173653,0.535461005,0.764115226,385
93,2.80526658,133.4,14326.3,326.3394077,2.505694761,70.33333333,0.319702602,0.429227672,0.607744875,386
94,2.690561202,98.66666667,10528.26667,254.716129,1.990322581,47.66666667,0.240860215,0.37814928,0.477419355,369
95,2.43702769,105.4666667,7691.6,298.124031,2.992248062,45.33333333,0.73433584,0.46382249,0.817571059,329
96,2.553810432,109.2,9003.2,281.35,2.75,53.83333333,0.37414966,0.452156532,0.6825,391
97,2.370533463,104.2,7783.9,455.1988304,4.619883041,69.33333333,2.39375,1.154377999,1.21871345,574
98,2.147910049,41.33333333,1680,233.3333333,4.5,31.5,6.265306122,1.149873629,1.148148148,289
99,2.711719943,116.8,12189.06667,289.7559429,2.34548336,56.66666667,0.284537389,0.412495182,0.555309033,384
100,2.301585984,82.86666667,4654.166667,306.8681319,4.681318681,42.5,1.851598174,0.68568963,1.092747253,329
101,2.455526622,53.73333333,2056.266667,65.34745763,1.18220339,37.5,0.325878594,0.347672332,0.341525424,145
102,2.906962264,30.26666667,700,12.15277778,0.458333333,66.66666667,0.577371048,0.234768331,0.105092593,56
103,2.895873668,171.8,20476.96667,598.1587147,4.142161636,88.16666667,0.59223301,0.680272047,1.003700097,574
104,2.881009717,122.2666667,14171.86667,300.6760962,1.991513437,56.5,0.324754902,0.375799348,0.518811881,354
105,2.441367101,100.4666667,7013.366667,258.1607362,2.952147239,45.33333333,0.558089034,0.440940011,0.739631902,300
106,2.61458157,118.1333333,9966.266667,297.2047714,2.516898608,50.66666667,0.4101069,0.451165237,0.704572565,402
107,2.638771448,125.3333333,11654.26667,304.0243478,2.549565217,49,0.320768662,0.400604458,0.653913043,365
108,2.43632415,127.9333333,11534.7,557.2318841,4.753623188,70,2.086345382,0.966054742,1.236070853,574
109,2.582626716,117.8,9951.5,302.4772036,2.650455927,48.83333333,0.391380827,0.439189568,0.716109422,394
110,2.749152009,160.2666667,21005.86667,562.6571429,3.978571429,85.16666667,0.427383237,0.62683468,0.858571429,574
111,2.636058293,131.8,12453.9,330.3421751,2.795755968,62.66666667,0.426375405,0.438236105,0.699204244,371
112,2.525832962,105.5333333,8409.9,252.5495495,2.348348348,41.16666667,0.390423573,0.394258448,0.633833834,335
113,2.388997167,115.1333333,8744.3,365.8702929,4.008368201,54.33333333,0.791164659,0.520482958,0.963458856,319
114,2.364347534,89.8,5532.3,272.5270936,3.251231527,42.16666667,0.987068966,0.529696014,0.884729064,309
115,3.043669419,175.1333333,24988.7,617.0049383,3.980246914,94.33333333,0.40994152,0.622437744,0.864855967,555
116,2.662969776,160.6,18542.96667,551.3270565,3.976214073,80.83333333,0.578988942,0.663545084,0.955004955,577
117,2.346048047,110.4,9727.466667,634.4,5.626086957,71.83333333,4.059925094,1.251058153,1.44,578
118,3.049524613,171.9333333,25122.56667,613.2441009,3.980471928,97,0.373858447,0.623712684,0.839381611,549
119,2.586692352,140.9333333,15095.6,436.2890173,3.583815029,63.16666667,0.378654971,0.504707551,0.814643545,416
120,2.292917791,95.93333333,7102.566667,523.5307125,5.670761671,69.5,5.212121212,1.378141855,1.414250614,575
121,2.519542781,145.4666667,14407.06667,527.0878049,4.419512195,76.83333333,0.921443737,0.77217852,1.064390244,575
122,2.663018188,158.2666667,18624.66667,549.9409449,3.976377953,82,0.54147813,0.660746168,0.934645669,575
123,2.456366163,79.13333333,4878.966667,188.8632258,2.219354839,35.33333333,0.597505669,0.440240214,0.612645161,326
124,2.62822877,158.4666667,16946.16667,569.300112,4.132138858,79.83333333,0.860664523,0.729024001,1.064725644,580
125,2.33344708,83.53333333,5179.9,414.392,5.904,120.3333333,3.571428571,2.059260709,1.336533333,621
126,1.587626299,5.4,36.16666667,47.17391304,6.347826087,61.83333333,209.1666667,19.29283832,1.408695652,421
127,2.485567779,125.5333333,11176.3,431.5173745,3.969111969,72,0.959876543,0.801585895,0.969369369,575
128,2.733983458,125.0666667,12210.66667,297.3376623,2.344155844,51,0.308874913,0.393744972,0.609090909,385
129,2.615956318,166.3333333,21171.1,885.8200837,5.974895397,123.8333333,2.641456583,1.104726653,1.391910739,631
130,2.456940339,124.1333333,10674.26667,482.2710843,4.34939759,75,1.598333333,0.914135537,1.121686747,575
133,2.408899463,114.3333333,10527.36667,610.8723404,4.862669246,71.5,2.626477541,1.151442408,1.32688588,577
134,2.199662885,77,4343.1,391.2702703,5.675675676,75.33333333,5.388888889,1.639265597,1.387387387,575
135,2.523736002,137.9333333,12823.9,510.9123506,4.071713147,79.33333333,1.177002584,0.836231686,1.099070385,576
136,2.241161499,72.06666667,4563.1,480.3263158,7.326315789,118.6666667,27,2.676850361,1.517192982,614
137,2.666415192,163.8,18700.96667,603.9063509,4.592034446,86.83333333,0.730912477,0.719546475,1.057911733,581
138,2.745502294,164.9333333,18879.86667,567.5310621,3.97995992,85.33333333,0.597870598,0.681091541,0.991583166,579
139,2.350712768,93,6310.166667,469.7394541,5.910669975,120.3333333,3.892720307,1.916185523,1.384615385,624
140,2.842711597,116.1333333,13724.8,292.0170213,1.991489362,59.83333333,0.311030741,0.38937462,0.494184397,366
141,2.404265017,95.26666667,6098.166667,240.4007884,3.019710907,63.5,0.474597274,0.657268025,0.751116951,252
142,2.834796099,116.8666667,12829.1,288.294382,2.076404494,66.5,0.303884712,0.425247213,0.525243446,381
143,2.351135178,70.4,3468.4,150.8,2.173913043,41.16666667,0.351464435,0.49538301,0.612173913,200
144,2.354787807,78.6,4086.166667,170.0208044,2.737864078,50,0.44042838,0.506983667,0.65409154,174
145,2.320903673,69.06666667,3374.4,216.3076923,3.538461538,37.16666667,1.966666667,0.656219507,0.885470085,314
146,2.534976146,133.8666667,11879.46667,368.1652893,3.396694215,91.16666667,0.586171311,0.585619894,0.829752066,169
147,2.344793514,82.33333333,4476.966667,201.9684211,2.751879699,54.5,0.453869048,0.600678005,0.742857143,224
148,2.817763787,146.9333333,15187.46667,375.3080725,2.843492586,83.83333333,0.409871245,0.484512435,0.726194399,389
149,2.215618073,88.33333333,6088.566667,396.2190889,4.225596529,70.5,1.010498688,1.219901151,1.14967462,350
150,2.373081883,61.93333333,2662.966667,104.1577575,1.994784876,28.33333333,0.369565217,0.290283838,0.484485007,133
151,1.884279382,37.93333333,1263.5,257.8571429,7.020408163,48.33333333,29.22222222,2.597713266,1.54829932,314
152,2.335885757,112.8,9840.266667,636.2241379,6.215517241,69.5,5.706467662,1.244042357,1.45862069,578
153,2.568982343,121.8666667,10424.66667,311.4940239,2.820717131,63.16666667,0.475327291,0.484769255,0.728286853,406
155,2.237445356,61.33333333,2846.666667,265.2173913,4.422360248,34.16666667,3.808888889,0.899404833,1.142857143,305
156,2.479682959,84.6,5970.166667,206.1047181,2.384349827,38.5,0.475517891,0.422969942,0.584119678,333
157,2.567345971,96.6,6395.5,161.9113924,1.726582278,65.16666667,0.44526749,0.336387228,0.489113924,84
158,2.240264286,67.66666667,3773.366667,378.5986622,4.989966555,65,6.100456621,1.841737726,1.357859532,575
160,2.577797435,145,14324.96667,508.5786982,4.082840237,77.66666667,0.867867868,0.759969741,1.029585799,578
161,2.572616408,93.8,7886.566667,226.8427613,2.09012464,48.33333333,0.266503667,0.403432625,0.539597315,381
162,2.201033945,110.2666667,9141.466667,495.0252708,5.119133574,62.83333333,1.566666667,0.832396177,1.194223827,262
163,2.20284781,74.8,5123.6,388.1515152,4.303030303,45.33333333,1.659090909,1.173261782,1.133333333,319
164,2.382033018,77,4321.366667,184.9372325,2.556348074,54.66666667,0.464594128,0.636086803,0.659058488,242
165,2.631358891,159.5333333,16778.96667,515.2190379,3.948822927,85,0.614135626,0.604870566,0.979733879,417
166,2.769000433,111.1333333,8200.7,186.8041002,2.054669704,105.3333333,0.555803571,0.494887494,0.506302202,224
167,2.591593585,161.6666667,18056.96667,630.6274738,4.840512224,82.33333333,0.984397163,0.634683986,1.129220023,422
168,2.377771144,99.93333333,6847.366667,233.1679909,2.458569807,65.33333333,0.426436782,0.582043876,0.680590238,324
169,2.98362671,50.73333333,1763.766667,31.47709697,0.680547293,91.83333333,0.795362319,0.427029347,0.181082689,259
170,2.381810739,63.66666667,3112.166667,152.3083197,2.358890701,34.83333333,0.962462462,0.499144354,0.623164763,313
171,2.532481803,71.13333333,3476.566667,97.74789128,1.567010309,67,0.531282051,0.45684209,0.4,205
172,2.518479825,73.73333333,3916.266667,107.393053,1.447897623,45.16666667,0.393700787,0.337764668,0.404387569,144
173,2.384183194,80.4,4988.4,202.7804878,2.829268293,50.16666667,0.551210428,0.607362057,0.653658537,233
174,2.376480804,115.4666667,8704.266667,401.7353846,4.301538462,50.33333333,1.03236246,0.539480355,1.065846154,334
176,2.548034013,88.93333333,7307.066667,218.3386454,1.988047809,37.16666667,0.31443299,0.392072409,0.531474104,360
177,2.51368743,152.2,19932.3,1011.791878,7.370558376,120.6666667,11.34482759,1.312261014,1.545177665,629
178,2.542711909,146.6,14668.3,511.0905923,4.055749129,96,1.031298905,0.860889676,1.021602787,321
179,3.078825456,28.8,660.6666667,10.89010989,0.38021978,75.83333333,0.553066667,0.261843598,0.094945055,118
180,2.503566871,145.6666667,14148.16667,501.1157025,4.370720189,69.33333333,0.716384181,0.558045792,1.031877214,407
181,2.862503952,163,21765.36667,573.2756804,3.978928885,85.33333333,0.397149938,0.619956365,0.858647937,572
182,2.388564251,131,11340.16667,432.2808132,4.185514612,87.83333333,0.717647059,0.785541086,0.998729352,343
183,2.749036656,170,20000.66667,600.02,4.512,102.8333333,0.750499002,0.648068669,1.02,412
